,Date,User,Tweet
72,2015-03-23 06:02:50+00:00,Kailashkher,I am announcing my 1st set of nominations for #SwachhBharat. Lets unite to fulfill our heroes’ vision of a beautiful India. #BhagatSingh
73,2015-03-23 02:16:45+00:00,SetDeep,If @narendramodi is ready to sweep streets for #SwachhBharat why cannot sports minister visit site of Paralympics fisaco &amp; check firsthand?
74,2015-03-22 21:11:03+00:00,FusionFoodworks,"Swachh Bharat Abhiyan ... Supported by Fusion FoodWorks .
#SwachhBharat #FusionFoodWorks"
75,2015-03-22 17:13:28+00:00,nikhilmitttal,Stop teaching #SocialScience .. teach #SocialSense only then #gen-next will appreciate #HistorynCivics @PMOIndia #Suggestion #SwachhBharat
76,2015-03-22 14:09:18+00:00,outswing,#Chennai is doing the total opposite of #SwachhBharat called Kakkoos Bharat. Garbage everywhere. This city should be scooped out and thrown
77,2015-03-22 05:04:53+00:00,ksinamdar,Great work by @temsutulaimsong &amp; friends towards #SwachhBharat in #MissionPrabhughaghat
78,2015-03-21 19:37:01+00:00,theamiteshsufi,"Actually, he has to save killers n mafia @EconomicTimes: Siddaramaiah turns down PM offer to head #SwachhBharat team, says he has no time"
79,2015-03-21 18:54:02+00:00,MachaiahKA,"Went to KRS after some 20 odd years and appalled at the total lack of civic sense amongst most of us. Each 1, teach 1 #swachhBharat #KRS"
80,2015-03-21 16:52:20+00:00,nikhilpec,#Women should use new #sanitary #napkin in every 4-6 days during menstrual period.#Swachhbharat #CleanIndia #MyCleanIndia #hygiene
81,2015-03-21 15:22:11+00:00,LN_Hegde,"Vinaash Kaale.... RT ""@EconomicTimes: Siddaramaiah turns down PM offer to head #SwachhBharat team, says he has no time""  @astitvam"
82,2015-03-21 14:26:05+00:00,Asok_Kar,Peak hour dust horror #Thane stn. Wondering why a hygienic technology can't replace manual sweeping of enclosed public places #SwachhBharat
83,2015-03-21 11:32:36+00:00,umakantsingh_IN,What use #SwachhBharat Taskforce except numerous meetings?Cleanliness purely embedded work of central-state govts!Needed clear vision &amp;will!
84,2015-03-21 11:03:32+00:00,_mohi_,So it turns out that Siddharamaiah has no time for swachhata! :P #SwachhBharat
85,2015-03-21 06:43:10+00:00,amodjn,Party workers bursting crackers in the middle of the roads! Littering the entire place!So Much For #SwachhBharat @narendramodi @AUThackeray
86,2015-03-21 04:47:59+00:00,Patiilism,Next nomination for #SwachhBharat :Martin Guptill #CWC15
87,2015-03-21 01:23:57+00:00,chandu532,RT shaggy_shagun: Buy food that has less packing as plastic used in it cant be recycled easily and cause litter #swachhbharat
88,2015-03-20 18:36:03+00:00,shaggy_shagun,Buy food that has less packing as plastic used in it cant be recycled easily and cause litter #swachhbharat
89,2015-03-20 17:51:22+00:00,shaggy_shagun,India is rich in filth #swachhbharat
90,2015-03-20 15:15:48+00:00,manishpandey727,#varanasi is going to #cleanliness Prime minister shri @narendramodi is gives more power push to this mission. #SwachhBharat
91,2015-03-20 13:49:56+00:00,nikhilpec,Ministry of Drinking water &amp; cleanliness will observe awareness week til 23March2015 in rural areas #swachhBharat #CleanIndia #MyCleanIndia
92,2015-03-20 13:37:57+00:00,chandu532,RT bjparvind: Join in for Swacch Bharath campaign on 22nd March at Immadehalli. #CleanIndia #swachhBharat  narendramodi narendramodi_in
93,2015-03-20 13:37:57+00:00,chandu532,"RT pradeepdhakra: #swachhBharat #MyCleanIndia chennai station was never so clean .no stinking smell ,shocked and surprised ChennaiInsider s…"
