Date,User,Tweet
2017-04-17 03:13:51+00:00,pradeep211,I was told that stone pelting in Kashmir had stopped due to demonetization! #DeMonetisation #Demonetization
2017-04-16 17:38:43+00:00,gisurg,"Wish to know the expenses of Modi road show at surat done by whom?

How was 500 cr hospital built?
Was it all white money ??#demonetization"
2017-04-16 15:38:01+00:00,steve_hanke,ATMs across #India running out of cash once again after withdrawal restrictions were loosened. And Modi still claims #demonetization victory
2017-04-16 15:12:50+00:00,SpencerKarter,In protest over #YouTube's #AdsenseGate aka #Demonetization and other issues. I've started to #BoycottYouTube once again. #SaveYouTube
2017-04-16 11:06:43+00:00,jotbir,"Dear @evanspiegel @Snapchat 
India is so #rich that PM #Modi had to implement #demonetization to find out who is actually poor!"
2017-04-16 10:04:44+00:00,itsRahulPatil,"Dear #Snapchat, #India is so Rich that our #PMmodi applied #demonetization to find out who is actually #Poor.
#boycottsnapchat #snapchatceo"
2017-04-15 18:41:34+00:00,AmiteshK01,"3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in Hawala trade"
2017-04-14 18:29:49+00:00,dravikalp,"How come now, many days after #demonetization , #SBI #ATM don't have money... ? Continuously returning back blank last two days..."
2017-04-14 18:03:23+00:00,KiranKS,"Operation Clean Money: 60,000 people been identified for investigation into claims of excessive cash sales during #demonetization period."
2017-04-13 20:49:45+00:00,azomer,"Lessons for other countries? Print the bills before! ""Baffled"" by the level of implementation - #demonetization in #India @JPAL_Global"
2017-04-13 20:45:45+00:00,azomer,Interpretation of the evidence: bad economics was probably good politics - #demonetization in #India @JPAL_Global @MITEcon @MIT_SHASS
2017-04-13 20:35:50+00:00,azomer,54 rule changes in 52 days - #demonetization in #India. Hard to plan for a wedding or regular life under these conditions @JPAL_Global #d2p2
2017-04-13 13:37:41+00:00,meghna_meghna,"No evidence that #demonetization was the disaster that all of us predicted, says @srinivasanravi #ACJLive"
2017-04-13 12:48:44+00:00,rohan_kolo,Was the primary motive behind #demonetization actually to flush funds into public banks beleaguered by bad loans? #ACJLive
2017-04-13 06:25:02+00:00,AmiteshK01,"#demonetization has killed many opposition parties, era of swatch politics....to a great extent."
2017-04-13 06:21:30+00:00,indialegalmedia,#Demonetization matter: SC adjourns the matter for two weeks
2017-04-13 06:20:57+00:00,indialegalmedia,#Demonetization matter: Counsel seeks time to file more documents to the satisfaction of the court
2017-04-13 06:20:30+00:00,indialegalmedia,#Demonetization matter: The petitioner had alleged that she had found demonetized currencies in her locker
2017-04-13 06:18:18+00:00,indialegalmedia,#Demonetization matter: #SupremeCourt expresses dissatisfaction with the source of the cash.
2017-04-13 06:06:15+00:00,indialegalmedia,"#Demonetization matter

Counsel -  i am ready to give 50 % tax.

SC- We find no merits in petition"
2017-04-13 06:03:50+00:00,indialegalmedia,"#Demonetization matter

SC- Yu have demonstrated that u have gone to the bank. You are talking about 31 lacs of rupees.Were u not serious"
2017-04-12 14:04:36+00:00,DittosBlog,#YouTube attack on #IndependentMedia by #Demonetization of videos?! #BadChoice Followers will simply DONATE DIRECTLY &amp; YOUTUBE won't profit!
2017-04-12 09:23:23+00:00,mindfooly,"What proof do we need to confirm #demonetization has not worked, other than these #ITRaids ?how did they get so much money,that too in cash?"
2017-04-12 06:47:17+00:00,Moonis_Ahmed,"Went yesterday to 5 atms of different banks and no money. But according to our dear PM and FM, there is no cash crunch. #demonetization"
2017-04-12 05:42:12+00:00,SpencerKarter,I hope #KarmaBites @SusanWojcicki because of #YouTube's #AdsenseGate aka #Demonetization #PRnightmare. #FireSusanWojcicki! #Karma
2017-04-12 05:03:29+00:00,KhotChaitanya,#OffendEveryoneIn4Words the #demonetization was useless.
2017-04-11 21:20:11+00:00,Lojah,WTF is up w/ @youtube? My vids say they are monetized but there are no ads on any of them. None controversial. #youtube #demonetization
2017-04-11 17:05:11+00:00,SpencerKarter,"If it wasn't for #YouTuber #PhilipDeFranco, I wouldn't know about #YouTube's #Demonetization #PRnightmare long time ago. #AdsenseGate"
2017-04-11 07:28:56+00:00,indialegalmedia,"#Demonetization matter

AG- Question was only if a window should be open or not?"
2017-04-11 07:28:26+00:00,indialegalmedia,"#Demonetization matter

AG-i had stated we will only file a general affidavit we cannot deal with individual facts."
2017-04-11 07:19:34+00:00,indialegalmedia,"#Demonetization matter

SC- we will post it to next Tuesday.

AG- then let it be in July."
2017-04-11 07:18:29+00:00,indialegalmedia,#Demonetization matter: AG hands over a copy. Counsel after reading it says he needs time to respond
2017-04-11 07:17:07+00:00,indialegalmedia,"#Demonetization matter

SC- you should have asked AG, he is a very generous man he would have given you. Only with us he is not generous."
2017-04-11 07:16:43+00:00,indialegalmedia,"#Demonetization matter

Petitioner - I have not received the copy of affidavit filed by union govt"
2017-04-11 06:16:10+00:00,rukhsarsaleem,"#Demonetization politically ended in Jan-Feb 2017. Then what the hell is with this #TechnicalDemonetization 
#11ATMs dry in Filmnagar Hyd"
2017-04-10 14:40:00+00:00,nishithdalal,"Dry Days back at ATMs in Mumbai, Vashi, Pune and Bangalore. ⚠️Hangover of #demonetization?"
2017-04-10 09:04:43+00:00,SpencerKarter,#ShameOnYou @WSJ for hurting #YouTube's #reputation. #Demonetization #AdsenseGate #PRnightmare #SaveYouTube #BoycottWSJ
2017-04-10 08:54:33+00:00,SaeedkhanTOI,Gujarat HC notice to #EnforcementDirectorate over freezing Jignesh Bhajiawala's bank accounts.@timesofindia #DEMONetization
2017-04-10 08:05:17+00:00,thenewguy29,The Govt seem to be causing Chaos first #demonetization and now #aadhaar  linking #PAN
2017-04-10 07:34:46+00:00,Shubham_bkind,"Tell me one benefit of #demonetization and i can count you 10 disadvantage, still in my town banks are behaving like autocrats....."
2017-04-10 07:31:21+00:00,Uttamaputtirann,"#Demonetization  result: 5400 cr undisclosed income.
Which is just 0.35% of total money value in India.

இதுக்காடா எங்கள இப்படி சாவடிச்ச 😑😑😑"
2017-04-10 06:25:27+00:00,indialegalmedia,#Demonetization matter: The petitioner had found Rs 80000 of demonetized notes in her locker and sought perm to deposit the same with RBI.
2017-04-10 06:23:55+00:00,indialegalmedia,#Demonetization matter: #SupremeCourt issues notice
2017-04-10 05:23:10+00:00,AmmU_MaanU,1/The clamour for farm loan waiver all over is related 2 #demonetization. Maha-21500 crores;Karnatak-52000;Punjab-70000;Andhra-24000;TN-5800
2017-04-09 16:01:46+00:00,jayancm,"#demonetization- removed 1000 notes, bt 2000 made it easy. The amount of money in RK Nagar by-election is astounding. What the use finally?"
2017-04-09 05:43:42+00:00,IYC_Mumbai,The lines are Back in ATMs. Most of them running Dry. Media houses hav shut tere mouth.Y arnt they taking abt it? #ATMsDRY #Demonetization
